s.age.t4,s.gen.t4,s.inc.t4,ad.1.t4,ad.2.t4,ad.3.t4,ad.4.t4,ad.5.t4,ad.6.t4,ad.7.t4,ad.8.t4
22,2,4,2,2,2,1,1,1,1,3
32,1,4,2,2,2,2,2,2,2,3
50,2,3, , , , , , , , 
52,2,5,3,4,3,3,3,2,2,2
36,2,5, , , , , , , , 
36,2,1,4,4,3,3,3,3,3,4
28,1,4,2,2,3,2,2,2,2,2
22,2,2,2,2,2,1,1,1,1,2
57,2,5,2,3,1,3,3,3,2,3
58,2,5,1,1,1,1,1,1,1,4
45,1,2,1,2,2,2,2,1,2,2
59,1,3,3,2,2,2,2,1,2,2
48,2,4,3,1,1,1,1,1,1,2
62,1,4,2,2,1,1,2,1,1,2
30,1,4,2,1,1,1,2,1,1,2
56,2,2,2,2,2,2,2,2,2,2
31,1,3,2,2,2,4,4,3,3,3
28,1,5,2,2,1,1,1,1,1,1
35,2,4,4,4,4,4,4,4,2,1
33,2,5,4,3,3,3,3,2,3,2
63,2,5,3,2,2,1,1,3,1,3
52,1,5, , , , , , , , 
20,2,4,1,1,1,1,1,1,1,1
31,2,3,1,1,1,1,1,1,1,1
46,2,4,2,1,1,1,2,1,1,2
52,2,3,3,3,3,3,3,1,3,3
43,2,5,2,1,1,1,1,1,1,1
34,2,4,4,4,1,1,1,1,1,3
51,2,3,1,1,1,1,1,1,1,1
50,2,4, , , , , , , , 
48,1,3,3,1,1,1,1,1,1,1
25,2,4,2,2,2,2,2,2,2,3
56,1,3,3,2,4,3,3,4,4,4
30,2,3,2,2,1,1,1,1,1,1
29,2,4, , , , , , , , 
19,2,4,1,1,1,1,1,1,1,1
52,1,2,2,2,2,2,2,3,3,2
55,2,5,2,2,2,1,1,1,2,2
24,2,3,3,3,3,2,3,2,1,3
30,1,3,2,1,1,1,1,2,1,1
28,2,2,1,1,2,1,1,1,1,1
41,2,3,2,1,1,1,1,1,1,2
24,2,4,3,3,2,3,2,2,3,2
